
 Version: 2.1
 Chunks: 1
 Start: 2026-08-14 08:27:20 (UTC)
 Duration: 1800 s

 Event Type                              Count  Size (bytes) 
 jdk.ParallelOldGarbageCollection            0             0
 jdk.PhysicalMemory                          0             0
 jdk.ProcessStart                            0             0
 jdk.PromoteObjectInNewPLAB                  0             0
 jdk.PromoteObjectOutsidePLAB                0             0
 jdk.PromotionFailed                         0             0
 jdk.RedefineClasses                         0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ResidentSetSize                         0             0
 jdk.RetransformClasses                      0             0
 jdk.SafepointBegin                          0             0
 jdk.SafepointEnd                            0             0
 jdk.SafepointLatency                        0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.SerializationMisdeclaration             0             0
 jdk.ShenandoahEvacuationInformation         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.Shutdown                                0             0
 jdk.SocketRead                              0             0
 jdk.SocketWrite                             0             0
 jdk.StringFlag                              0             0
 jdk.StringFlagChanged                       0             0
 jdk.StringTableStatistics                   0             0
 jdk.SwapSpace                               0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.SystemGC                                0             0
 jdk.SystemProcess                           0             0
 jdk.TLSHandshake                            0             0
 jdk.TenuringDistribution                    0             0
 jdk.ThreadAllocationStatistics              0             0
 jdk.ThreadCPULoad                           0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.ThreadDump                              0             0
 jdk.ThreadEnd                               0             0
 jdk.ThreadPark                              0             0
 jdk.ThreadSleep                             0             0
 jdk.ThreadStart                             0             0
 jdk.UnsignedIntFlag                         0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.UnsignedLongFlag                        0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.VirtualThreadStart                      0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.VirtualizationInformation               0             0
 jdk.X509Certificate                         0             0
 jdk.X509Validation                          0             0
 jdk.YoungGarbageCollection                  0             0
 jdk.YoungGenerationConfiguration            0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
 jdk.ZYoungGarbageCollection                 0             0
 minecraft.ChunkGeneration                   0             0
 minecraft.ChunkRegionRead                   0             0
 minecraft.ChunkRegionWrite                  0             0
 minecraft.LoadWorld                         0             0
 minecraft.PacketReceived                    0             0
 minecraft.PacketSent                        0             0
 minecraft.StructureGeneration               0             0
